win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
1.0,0,4,1,4,-6,-4,5,7,12,5,-4,0,2,4,-14,-7,-4,-10,-14,-5,-1,-17,0,4,0,2,-5,IND,ATL,2018-11-18
1.0,-5,15,-4,6,-6,-10,-3,12,9,20,-4,0,-2,3,6,-2,1,8,2,4,31,-7,0,1,3,-2,14,PHI,NYK,2018-11-29
1.0,-9,-4,-1,6,12,7,-7,-1,-8,4,2,-3,-4,0,1,0,0,-16,-6,-8,7,11,1,-7,10,1,4,BKN,DEN,2019-02-07
0.0,20,2,14,2,-17,-11,7,-8,-1,-7,8,1,9,-8,17,7,8,-4,4,-2,4,-34,0,4,-5,3,9,CHI,LAC,2019-01-26
0.0,-8,-7,-7,-3,17,12,2,0,2,-5,-4,-4,-8,2,-4,-5,-3,2,9,1,-2,18,-1,2,-2,0,-6,DAL,GSW,2019-01-14
0.0,21,3,10,0,-18,-11,5,-12,-7,-5,1,0,4,-2,9,6,3,6,8,3,-28,33,0,0,0,-1,11,PHX,PHI,2019-01-03
1.0,-4,1,1,2,-6,-1,-2,5,3,10,-8,-2,-2,8,-14,-7,-5,12,6,6,1,-17,1,0,-1,-1,-9,WAS,PHX,2018-12-23
0.0,-13,-10,-11,-4,15,10,-7,-4,-11,-7,-3,0,-6,4,-4,-2,-2,-18,-9,-9,-29,1,0,-10,5,-1,0,LAL,TOR,2018-11-05
0.0,0,-11,-13,-11,13,13,10,-4,6,-18,-6,-2,-6,3,-5,-3,-1,2,10,1,-27,-24,1,0,1,0,-9,SAS,IND,2018-10-25
1.0,0,1,-4,4,4,0,6,9,15,-1,1,-4,-1,2,5,3,3,-6,2,-3,18,-5,0,3,-2,0,3,OKC,NOP,2019-01-25
1.0,11,5,1,2,-10,-5,-1,-6,-7,6,2,-6,4,-7,-6,1,-2,4,4,2,6,8,1,2,-6,-2,12,SAC,CHA,2019-01-13
0.0,-11,-10,0,-3,-4,-2,-11,-14,-25,-6,0,0,3,-1,6,0,2,-18,-16,-9,-18,-19,0,-12,0,1,5,CLE,MIA,2019-01-03
1.0,3,5,13,4,0,-1,8,4,12,-5,-3,4,2,0,6,3,2,-12,-9,-6,20,20,0,10,-3,2,2,BOS,NOP,2018-12-11
1.0,-11,5,-16,-3,2,3,-4,7,3,3,1,1,-1,-1,1,-1,0,16,11,8,9,11,2,-11,-6,2,4,CHI,ORL,2018-12-22
0.0,1,-5,-6,1,-2,-1,-2,-2,-4,-14,-3,-4,3,-3,-4,-2,-2,-16,2,-8,-15,4,0,-3,-1,1,-11,NOP,UTA,2019-03-07
0.0,8,-4,27,7,-6,-2,9,3,12,-7,-5,-1,5,5,6,4,3,-2,-10,-1,-14,-2,1,9,0,0,2,OKC,SAC,2019-02-24
1.0,-15,3,-12,-2,6,2,-7,9,2,-5,-2,2,-6,5,6,0,1,-2,-6,-1,9,-13,0,-17,0,1,-4,TOR,UTA,2019-01-02
0.0,19,1,-1,-3,1,-7,9,-9,0,1,3,-3,3,-8,1,1,0,6,24,3,-15,15,0,10,10,0,12,DET,NOP,2018-12-09
1.0,-9,4,-8,-4,-2,0,-5,0,-5,2,-3,5,-5,1,-3,-2,-1,8,-3,4,6,18,0,-4,-4,-1,1,LAC,DAL,2018-12-21
0.0,-8,-8,10,5,4,4,-7,-4,-11,3,-3,-3,3,1,8,4,2,-24,-10,-12,-12,2,0,-7,7,2,4,CHA,MIA,2019-03-07
0.0,-1,-1,-8,-5,4,5,1,-1,0,-8,-1,-1,-3,0,8,2,4,6,0,3,-11,7,0,0,3,-1,-6,CHA,BKN,2019-02-24
1.0,-9,2,0,7,0,-2,-4,5,1,3,-1,2,2,3,1,-6,0,-20,-19,-10,15,2,0,2,0,-1,0,IND,CHI,2019-03-06
0.0,-1,-4,5,0,-8,-3,1,4,5,-7,-4,0,2,7,8,5,3,0,-4,0,-11,-7,0,2,-1,3,-13,NYK,MIN,2019-02-23
0.0,14,0,7,0,-6,-7,7,-2,5,-8,-4,-10,3,-1,-14,-2,-7,4,10,2,-4,-1,0,18,4,2,-4,CLE,BOS,2019-02-06
1.0,6,6,10,4,14,9,9,7,16,6,1,3,-3,-3,8,2,2,8,2,4,31,16,0,8,3,-1,9,PHI,WAS,2018-12-01
1.0,19,13,0,1,1,0,8,0,8,9,7,-7,-1,-9,8,6,1,18,18,9,23,22,0,10,3,-1,22,IND,UTA,2018-11-20
1.0,16,14,13,5,-14,-18,-4,-10,-14,17,9,6,5,-13,-3,4,-1,20,9,10,24,18,0,-10,4,0,20,UTA,DAL,2018-11-08
1.0,1,8,-7,5,5,4,0,6,6,9,0,-3,-7,-2,6,2,1,2,1,1,25,28,0,-6,-2,0,5,SAS,PHX,2018-12-12
1.0,-15,0,26,15,4,1,-4,8,4,10,-1,-1,2,4,14,2,4,-10,-19,-5,21,12,-1,-4,-2,1,3,BKN,SAS,2019-02-26
1.0,-13,-3,8,4,4,5,-10,1,-9,-2,-1,1,1,0,8,0,2,4,-7,2,16,-13,0,-5,-2,0,10,TOR,GSW,2018-11-30
0.0,-8,-7,5,2,-2,-4,-2,0,-2,4,-4,0,2,3,-12,-7,-6,-4,3,-2,-21,9,1,2,5,1,-5,MIA,LAL,2018-11-18
0.0,-3,3,-10,-2,-11,-11,-7,-3,-10,7,-3,7,4,1,-9,1,-2,-2,-12,-1,5,-15,-1,-3,0,0,-15,ORL,DET,2018-11-08
1.0,9,4,-5,0,0,-4,9,2,11,3,0,-3,-9,-3,9,4,3,4,5,2,0,-10,0,6,0,1,4,SAC,WAS,2018-10-27
0.0,-7,-4,-5,3,-8,-13,-4,-4,-8,-4,-1,1,2,9,-10,-8,-2,-6,2,-3,-4,17,0,-2,-2,0,-10,ATL,TOR,2019-02-08
0.0,16,4,7,3,-19,-15,4,-8,-4,-2,-2,-3,3,0,-11,-4,-4,6,5,3,-3,-1,0,13,-2,-1,0,BOS,GSW,2019-01-27
1.0,-6,6,-2,4,18,18,-1,10,9,5,3,1,-13,-5,15,3,3,12,-3,6,37,11,-1,-5,-5,0,16,IND,PHX,2019-01-16
0.0,14,6,-10,-8,-11,-13,0,-5,-5,-2,3,3,5,-7,6,3,2,18,12,9,-3,-31,-1,-2,-1,1,3,MEM,BKN,2019-01-05
0.0,13,0,-5,-6,-7,-6,10,-5,5,-7,0,0,-1,0,-7,0,-3,4,8,2,-17,16,0,9,3,-1,1,BOS,UTA,2018-11-18
1.0,3,3,10,9,-8,-4,5,0,5,10,-4,-4,4,1,-16,-5,-6,-10,-3,-5,6,30,-1,-10,-5,0,-4,LAC,MIN,2018-11-06
1.0,8,16,-4,-2,-6,-1,3,13,16,9,5,3,2,-3,8,2,3,24,6,12,28,8,0,4,-3,1,11,CHA,CHI,2018-10-26
1.0,5,2,-1,2,0,0,7,3,10,8,-1,-4,-5,-1,-1,2,2,6,4,3,6,9,0,3,-1,0,4,DAL,CHA,2019-02-07
1.0,-4,2,-2,2,5,-1,-4,1,-3,2,2,6,-1,-3,-3,0,0,2,2,1,4,18,0,6,1,0,1,DAL,DET,2019-01-26
1.0,-5,0,2,2,2,5,3,11,14,-3,-5,-1,-1,7,3,1,2,-2,-3,-1,22,1,1,11,-4,-2,9,BKN,BOS,2019-01-15
0.0,1,4,-8,-1,-15,-11,-9,-12,-21,1,2,0,3,-6,12,6,4,4,4,2,5,2,1,-17,-8,0,7,SAC,DEN,2019-01-04
1.0,7,-5,30,9,10,8,14,1,15,-2,1,-6,1,0,-7,0,-3,-20,-9,-10,10,-5,0,19,-3,0,-4,HOU,SAS,2018-12-23
0.0,-1,-3,-10,-4,2,2,1,-7,-6,-3,4,-5,-1,1,3,5,2,10,18,5,11,-19,0,1,-4,-2,-6,CHI,DET,2019-03-09
0.0,14,5,8,6,-18,-18,0,-8,-8,12,-5,-1,1,-1,-4,-1,-3,4,5,2,-20,1,1,3,3,-2,7,WAS,TOR,2019-01-13
1.0,-8,5,7,5,-6,-2,-5,4,-1,10,3,7,5,2,13,7,6,2,-12,1,22,44,0,-7,-2,-1,2,BOS,MIN,2019-01-03
1.0,1,0,-8,0,9,9,1,-3,-2,-5,1,-2,-2,-3,11,4,6,0,8,0,29,-13,0,5,1,1,0,OKC,UTA,2018-12-11
1.0,8,-4,9,-1,19,12,4,-6,-2,1,3,-3,-10,-9,8,6,2,-2,2,-1,-14,8,1,2,13,1,11,SAC,MEM,2018-12-22
0.0,-14,-5,-11,-6,6,0,-13,-1,-14,-7,-1,1,5,4,7,-2,2,8,3,4,-23,13,-1,-18,3,0,2,LAL,DEN,2019-03-07
1.0,-12,0,2,1,15,15,0,11,11,3,0,6,-7,4,7,-1,3,4,-6,2,16,-14,0,4,3,0,-1,UTA,DAL,2019-02-24
0.0,3,-8,10,3,6,6,5,-7,-2,-6,4,-7,-5,-2,6,-1,2,-4,12,-2,-5,8,3,5,-3,0,-2,ATL,SAS,2019-03-07
1.0,15,6,11,5,-10,-4,3,-1,2,-2,4,1,0,-6,2,1,3,0,6,0,14,18,-1,1,3,1,4,NOP,LAL,2019-02-24
1.0,4,9,-11,-3,-19,-7,1,12,13,7,-5,1,8,7,3,2,0,24,11,12,11,-7,0,1,-6,-1,-5,GSW,OKC,2018-10-17
0.0,12,-2,1,-1,-6,-7,5,-6,-1,1,-1,2,3,3,-7,0,-2,-8,7,-4,-4,-24,0,3,8,-1,2,MIA,BKN,2018-11-21
1.0,13,4,9,6,-1,-5,6,-3,3,-1,2,-3,-1,-3,-2,-5,-2,6,13,3,10,29,0,12,6,0,12,DET,GSW,2018-12-02
1.0,-18,-8,1,1,29,22,-12,4,-8,1,6,3,-14,-7,-9,-9,-4,-18,-18,-9,9,32,0,-12,9,0,8,DAL,ATL,2018-12-13
1.0,-3,2,7,-1,7,4,3,5,8,-2,0,-3,0,0,-3,0,-2,2,-8,1,20,40,1,-2,-2,1,4,CLE,NYK,2018-12-13
1.0,-8,3,5,7,-5,2,-7,11,4,4,-3,4,12,-1,8,0,1,-12,-14,-6,21,-10,-1,-13,-6,2,12,OKC,ATL,2018-12-01
1.0,-9,7,-2,2,-7,-6,-2,4,2,12,0,7,2,6,-5,-4,-2,8,-11,4,4,6,0,-5,-3,-1,1,MEM,DAL,2018-11-20
1.0,-1,5,-5,-2,14,10,1,12,13,2,1,1,-10,-2,-4,-1,-2,4,-4,2,24,5,-1,-1,3,0,-3,OKC,HOU,2018-11-09
1.0,5,3,-17,-10,6,8,5,2,7,1,2,0,-8,-4,-15,-8,-6,16,12,8,-6,13,0,8,-1,0,8,SAS,LAL,2018-10-28
0.0,11,-3,-3,-2,3,-2,8,-10,-2,2,2,1,-10,-1,-7,-11,-4,-4,8,-2,-30,20,1,-3,5,0,-3,MEM,MIL,2019-01-17
